name,overseas,withdrawn,role,keeper,batting_type,bowling_type,team,year,batting_hand,bowling_arm,bowling_speed,spin_type
Andre Fletcher,False,False,Top-order batsman,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,med,
Jahmar Hamilton,False,False,Wicketkeeper batsman,True,Right-hand bat,,St Lucia Zouks,2019,R,,,
Kavem Hodge,False,False,Allrounder,False,Right-hand bat,spin,St Lucia Zouks,2019,R,L,slow,sla
Nitish Kumar,True,False,Top-order batsman,False,Right-hand bat,spin,St Lucia Zouks,2019,R,R,slow,os
Keddy Lesporis,False,False,Top-order batsman,False,Right-hand bat,spin,St Lucia Zouks,2019,R,R,slow,os
Andre McCarthy,False,False,Middle-order batsman,False,Right-hand bat,spin,St Lucia Zouks,2019,R,R,slow,os
Lasith Malinga,True,False,Bowler,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,fast,
Najibullah Zadran,True,False,Middle-order batsman,False,Left-hand bat,spin,St Lucia Zouks,2019,L,R,slow,os
Thisara Perera,True,False,Bowling allrounder,False,Left-hand bat,seam,St Lucia Zouks,2019,L,R,med,
Krishmar Santokie,False,False,Bowler,False,Left-hand bat,seam,St Lucia Zouks,2019,L,L,med,
Hardus Viljoen,True,False,Bowler,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,fast,
Kesrick Williams,False,False,Bowler,False,Right-hand bat,seam,St Lucia Zouks,2019,R,R,fast,
Niroshan Dickwella,False,True,Wicketkeeper batsman,True,Left-hand bat,,St Lucia Zouks,2019,L,,,
Beuran Hendricks,False,True,Bowler,False,Left-hand bat,seam,St Lucia Zouks,2019,L,L,fast,
Kieron Pollard,False,False,Allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,med,
Ali Khan,False,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,fast,
Dwayne Bravo,False,False,Allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,med,
Darren Bravo,False,False,Top-order batsman,False,Left-hand bat,seam,Trinbago Knight Riders,2019,L,R,med,
Akeal Hosein,False,False,Bowler,False,Left-hand bat,spin,Trinbago Knight Riders,2019,L,L,slow,sla
Amir Jangoo,False,False,Wicketkeeper batsman,True,Left-hand bat,,Trinbago Knight Riders,2019,L,,,
Chris Jordan,True,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,fast,
Colin Munro,True,False,Opening batsman,False,Left-hand bat,seam,Trinbago Knight Riders,2019,L,R,med,
Sunil Narine,False,False,Bowling allrounder,False,Left-hand bat,spin,Trinbago Knight Riders,2019,L,R,slow,os
James Neesham,True,False,Batting allrounder,False,Left-hand bat,seam,Trinbago Knight Riders,2019,L,R,med,
Anderson Phillip,False,False,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,fast,
Seekkuge Prasanna,True,False,Allrounder,False,Right-hand bat,spin,Trinbago Knight Riders,2019,R,R,slow,ls
Denesh Ramdin,False,False,Wicketkeeper batsman,True,Right-hand bat,,Trinbago Knight Riders,2019,R,,,
Javon Searles,False,False,Bowling allrounder,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,fast,
Lendl Simmons,False,False,Top-order batsman,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,med,
Mohammad Hasnain,False,True,Bowler,False,Right-hand bat,seam,Trinbago Knight Riders,2019,R,R,fast,
Jason Holder,False,False,Bowling allrounder,False,Right-hand bat,seam,Barbados Tridents,2020,R,R,med,
Corey Anderson,True,False,Batting allrounder,False,Left-hand bat,seam,Barbados Tridents,2020,L,L,med,
