name,overseas,withdrawn,role,keeper,batting,bowling,team,year,batting_hand,bowling_arm,bowling_speed,bowling_type,spin_type
Ashley Noffke,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Royal Challengers Bangalore,2007,R,R,fast,seam,
Devraj Patil,False,False,,False,Right-hand bat,,Royal Challengers Bangalore,2007,R,,,,
Dale Steyn,False,False,Bowler,False,Right-hand bat,Right-arm fast,Royal Challengers Bangalore,2007,R,R,fast,seam,
Ross Taylor,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Royal Challengers Bangalore,2007,R,R,slow,spin,os
Vinay Kumar,False,False,Bowler,False,Right-hand bat,Right-arm medium,Royal Challengers Bangalore,2007,R,R,med,seam,
Cameron White,False,False,Middle-order batsman,False,Right-hand bat,Legbreak googly,Royal Challengers Bangalore,2007,R,R,slow,spin,ls
Nathan Bracken,False,True,Bowler,False,Right-hand bat,Left-arm fast-medium,Royal Challengers Bangalore,2007,R,L,fast,seam,
Venkatesh Prasad,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Royal Challengers Bangalore,2007,R,R,med,seam,
MS Dhoni,False,False,Wicketkeeper batsman,True,Right-hand bat,Right-arm medium,Chennai Super Kings,2007,R,R,med,seam,
Palani  Amarnath,False,False,,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2007,R,R,med,seam,
Srikkanth Anirudha,False,False,Top-order batsman,False,Right-hand bat,,Chennai Super Kings,2007,R,,,,
Arun Karthik,False,False,Batsman,False,Right-hand bat,Legbreak googly,Chennai Super Kings,2007,R,R,slow,spin,ls
Ravichandran Ashwin,False,False,Bowling allrounder,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2007,R,R,slow,spin,os
S Badrinath,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2007,R,R,slow,spin,os
Lakshmipathy Balaji,False,False,Bowler,False,Right-hand bat,Right-arm medium-fast,Chennai Super Kings,2007,R,R,med,seam,
Napoleon Einstein,False,False,,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2007,R,R,slow,spin,os
Stephen Fleming,False,False,Top-order batsman,False,Left-hand bat,,Chennai Super Kings,2007,L,,,,
Manpreet Gony,False,False,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2007,R,R,med,seam,
Matthew Hayden,False,False,Opening batsman,False,Left-hand bat,Right-arm medium,Chennai Super Kings,2007,L,R,med,seam,
Michael Hussey,False,False,Middle-order batsman,False,Left-hand bat,Right-arm medium,Chennai Super Kings,2007,L,R,med,seam,
Shadab Jakati,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2007,L,L,slow,spin,sla
Joginder Sharma,False,False,Allrounder,False,Right-hand bat,Right-arm fast-medium,Chennai Super Kings,2007,R,R,fast,seam,
Viraj Kadbe,False,False,,False,Right-hand bat,Legbreak,Chennai Super Kings,2007,R,R,slow,spin,ls
Chamara Kapugedera,False,False,Middle-order batsman,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2007,R,R,med,seam,
Suresh Kumar,False,False,,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2007,R,R,slow,spin,os
Albie Morkel,False,False,Bowling allrounder,False,Left-hand bat,Right-arm medium-fast,Chennai Super Kings,2007,L,R,med,seam,
Abhinav Mukund,False,False,Top-order batsman,False,Left-hand bat,Legbreak googly,Chennai Super Kings,2007,L,R,slow,spin,ls
Muttiah Muralitharan,False,False,Bowler,False,Right-hand bat,Right-arm offbreak,Chennai Super Kings,2007,R,R,slow,spin,os
Makhaya Ntini,False,False,,False,Right-hand bat,Right-arm fast,Chennai Super Kings,2007,R,R,fast,seam,
Jacob Oram,False,False,Allrounder,False,Left-hand bat,Right-arm fast-medium,Chennai Super Kings,2007,L,R,fast,seam,
Parthiv Patel,False,False,Wicketkeeper batsman,True,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2007,L,R,slow,spin,os
Suresh Raina,False,False,Middle-order batsman,False,Left-hand bat,Right-arm offbreak,Chennai Super Kings,2007,L,R,slow,spin,os
Vidyut Sivaramakrishnan,False,False,,False,Left-hand bat,Slow left-arm orthodox,Chennai Super Kings,2007,L,L,slow,spin,sla
Sudeep Tyagi,False,True,Bowler,False,Right-hand bat,Right-arm medium,Chennai Super Kings,2007,R,R,med,seam,
Kepler Wessels,False,False,,False,Left-hand bat,,Chennai Super Kings,2007,L,,,,
VVS Laxman,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Deccan Chargers,2007,R,R,slow,spin,os
Sanjay Bangar,False,False,,False,Right-hand bat,Right-arm medium-fast,Deccan Chargers,2007,R,R,med,seam,
Halhadar Das,False,False,,False,Right-hand bat,,Deccan Chargers,2007,R,,,,
Herschelle Gibbs,False,False,,False,Right-hand bat,Right-arm bowler,Deccan Chargers,2007,R,R,slow,other,
Adam Gilchrist,False,False,Wicketkeeper batsman,True,Left-hand bat,Right-arm offbreak,Deccan Chargers,2007,L,R,slow,spin,os
Doddapaneni Kalyankrishna,False,False,,False,Right-hand bat,Right-arm medium-fast,Deccan Chargers,2007,R,R,med,seam,
Pragyan Ojha,False,False,Bowler,False,Left-hand bat,Slow left-arm orthodox,Deccan Chargers,2007,L,L,slow,spin,sla
Dwaraka Ravi Teja,False,False,Batsman,False,Right-hand bat,Legbreak googly,Deccan Chargers,2007,R,R,slow,spin,ls
Shahid Afridi,False,False,Allrounder,False,Right-hand bat,Legbreak googly,Deccan Chargers,2007,R,R,slow,spin,ls
Rohit Sharma,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Deccan Chargers,2007,R,R,slow,spin,os
Chamara Silva,False,False,Batsman,False,Right-hand bat,Legbreak,Deccan Chargers,2007,R,R,slow,spin,ls
RP Singh,False,False,Bowler,False,Right-hand bat,Left-arm fast-medium,Deccan Chargers,2007,R,L,fast,seam,
Scott Styris,False,False,Allrounder,False,Right-hand bat,Right-arm medium,Deccan Chargers,2007,R,R,med,seam,
Andrew Symonds,False,False,Allrounder,False,Right-hand bat,Right-arm medium,Deccan Chargers,2007,R,R,med,seam,
Chaminda Vaas,False,False,Bowler,False,Left-hand bat,Left-arm fast-medium,Deccan Chargers,2007,L,L,fast,seam,
Venugopal Rao,False,False,Middle-order batsman,False,Right-hand bat,Right-arm offbreak,Deccan Chargers,2007,R,R,slow,spin,os
Paidikalva Vijaykumar,False,False,,False,Right-hand bat,Right-arm medium,Deccan Chargers,2007,R,R,med,seam,
Arjun Yadav,False,False,Batsman,False,Right-hand bat,Right-arm offbreak,Deccan Chargers,2007,R,R,slow,spin,os
Nuwan Zoysa,False,False,,False,Left-hand bat,Left-arm fast-medium,Deccan Chargers,2007,L,L,fast,seam,
Robin Singh,False,False,Allrounder,False,Left-hand bat,Right-arm medium-fast,Deccan Chargers,2007,L,R,med,seam,
Virender Sehwag,False,False,Top-order batsman,False,Right-hand bat,Right-arm offbreak,Delhi Daredevils,2007,R,R,slow,spin,os
